decision_id,timestamp,market,market_price,my_raw_prob,my_calibrated_prob,edge_type,confidence,hypothesis,rationale,opinion_shift,resolved,outcome,pnl,brier_score,attribution,learning
d2_1,2026-03-27T20:05:00Z,HOLD - All positions,N/A,N/A,N/A,portfolio_management,4,H_portfolio,Over position limit at $120. March 31 positions resolve in 4 days. Michigan catalyst tonight.,Michigan win shifts to 30-35%. March 31 crypto priced correctly.,0,,,,,
d3_1,2026-03-28T00:30:00Z,HOLD - All positions,N/A,N/A,N/A,portfolio_management,4,H_portfolio,Over limit at $119. March 31 resolutions in 4 days will free $67. Michigan beat Alabama (18.5%). BTC $66k safe from $60k dip.,March 31 resolutions priced correctly. Hold for full payout.,0,,,,,
d4_1,2026-03-28T10:15:00Z,SELL Michigan NCAA YES,0.235,0.20,0.16,capital_velocity,3,H_profit_taking,Taking +23% profit. Need 3 more wins (risky). Anti-passivity at 2 HOLDs. Over position limit. Capital velocity > holding for max return.,Michigan win probability fairly priced. Better to take profit and redeploy after March 31 resolutions.,0,,,,,BLOCKED - 0 POL for gas
d4_2,2026-03-28T10:20:00Z,FORCED HOLD,N/A,N/A,N/A,blocked,0,N/A,0 POL for gas. Cannot deposit tokens to CLOB or execute any on-chain transactions. Need ~0.01 POL to unblock.,N/A,0,,,,,
d9_1,2026-03-29T00:15:00Z,BLOCKED - No gas,N/A,N/A,N/A,blocked,0,N/A,0 POL for gas. 8th consecutive blocked cycle. Michigan in Elite Eight - would sell at 30%+ for +60% profit. March 31 positions all safe (April 6 Iran deadline). Expected $67 payout in 3 days.,N/A,0,,,,,
r1,2026-03-29T15:45:00Z,BTC >$70k March 20 YES,0.64,0.64,N/A,directional,3,H_btc_bounce,Entry: $0.64 for YES. Bet BTC would exceed $70k by March 20.,Expected BTC recovery from March lows.,1,NO,-9.02,0.41,miscalibration,BTC at ~$66.6k on March 20. Overestimated recovery speed. -$9 loss.
r2,2026-03-29T15:45:00Z,Trump Epstein files Dec 22 NO,0.32,0.68,N/A,timing,2,H_delay,Entry: $0.32 for NO. Bet files wouldn't release by deadline.,Expected bureaucratic delays on sensitive docs.,1,YES,-5.00,0.46,overconfidence,Files WERE released. Wrong about timing. -$5 loss.
d12_1,2026-03-29T12:01:00Z,BLOCKED - Iran risk elevated,N/A,N/A,N/A,blocked,0,N/A,0 POL for gas. 11th blocked cycle. NEW RISK: Pentagon preparing ground ops in Iran - 6-8k troops in proximity. Would EXIT US forces Iran NO if had gas. March 31 is 2 days. Michigan Elite Eight in 6h - would consider profit-taking at +16%.,Iran ground ops could happen within 48h. Significant escalation from airstrikes-only narrative.,0,,,,,
d16_1,2026-03-30T06:00:00Z,BLOCKED - Would EXIT Iran Apr30 NO,0.325,0.40,0.48,risk_management,4,H_escalation,Pentagon confirmed ground ops. Marines in theater. April 6 critical. Would cut position at -31% to avoid potential total loss.,Kharg Island seizure announcement = immediate exit trigger. April 6 energy strikes = escalation.,0,,,,,
d18_1,2026-03-30T14:52:00Z,BLOCKED - Would EXIT Iran Apr30 NO,0.29,0.25,0.20,risk_management,4,H_escalation,Cornelius: exit before April 6. Market 71% YES rising. Would cut -35% loss to avoid potential -50%+.,Rubio meeting April 1 = bullish for NO. No breakthrough by April 5 = exit trigger.,0,,,,,BLOCKED - 0 POL
d20_1,2026-03-30T19:10:00Z,BLOCKED_CAPITAL - Would BUY Argentina WC YES,0.10,0.15,0.19,longshot_value,3,H_champion_defense,Reigning World Cup champion at 10% is value. Would place $5 limit order at 12% but $0 USDC available. All capital locked in positions. March 31 resolutions tomorrow will free ~$67.,Market sentiment anchored on Spain/England. Argentina squad still elite. Scaloni continuity.,0,,,,,
